Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
12,RU,1553921091,90,68.54,146.19,-7.025999999999954,2.02
0,BW,1553918400,64,-21.44,27.46,20.0,2.1
90,NA,1553918527,72,-22.95,14.51,20.0,1.0
0,IN,1553920207,45,28.58,77.04,31.670000000000016,2.42
40,TH,1553921087,56,8.64,99.37,35.0,2.1
8,ZA,1553920800,36,-30.97,22.13,12.074000000000012,1.27
88,IE,1553920691,91,53.8,-9.52,8.890000000000043,5.07
0,RU,1553921093,58,67.46,153.71,-7.075999999999965,1.37
75,LK,1553919000,70,6.12,81.12,31.0,2.1
0,PG,1553920826,99,-2.67,141.3,28.774,8.37
80,CN,1553921087,66,21.85,111.96,27.220000000000027,6.27
12,IT,1553920933,80,46.72,11.66,3.890000000000043,1.0
12,SE,1553921042,87,58.71,13.82,6.0,6.7
76,RU,1553920795,91,61.92,159.24,-2.5259999999999536,7.02
0,RU,1553921093,93,59.7,30.79,3.890000000000043,4.0
40,BB,1553918400,78,13.22,-59.52,26.0,6.2
76,CN,1553918400,42,30.6,114.3,20.0,8.0
75,PL,1553920720,87,52.55,19.71,7.78000000000003,2.6
75,JP,1553918400,72,35.01,132.22,15.0,5.1
90,US,1553921045,81,41.79,-71.61,9.0,1.02
0,PA,1553920800,66,8.69,-82.32,15.0,4.92
0,AU,1553918400,19,-15.77,128.74,38.0,6.7
0,CA,1553921095,78,49.91,-109.46,-6.425999999999988,1.52
40,JP,1553918400,65,24.34,124.16,26.0,6.2
80,BR,1553921080,89,-32.03,-52.1,21.674000000000035,6.72
8,CN,1553921096,34,35.63,111.36,11.874000000000024,2.22
8,ZW,1553921096,77,-20.32,30.05,20.674000000000035,3.32
0,AU,1553920755,42,-34.58,150.85,21.670000000000016,13.9
88,NO,1553921097,87,71.03,27.85,-0.025999999999953616,11.17
75,SA,1553918400,58,31.68,38.65,12.0,3.6
75,JP,1553920386,76,34.7,138.93,16.0,5.1
0,ZA,1553920843,77,-25.66,28.73,18.890000000000043,0.45
68,EE,1553921098,89,59.1,26.19,3.2240000000000464,4.47
0,CN,1553921098,31,36.44,115.96,12.174000000000035,7.82
68,CA,1553921098,98,48.78,-87.1,-0.325999999999965,5.37
88,US,1553920285,94,37.17,-99.65,2.7800000000000296,7.15
90,CA,1553918400,49,51.26,-80.61,-3.0,3.6
12,NG,1553921099,90,4.92,6.26,25.474000000000046,3.22
90,US,1553920962,73,21.44,-157.84,26.0,2.6
40,NO,1553917800,79,78.22,15.63,-5.0,5.7
32,BR,1553921099,94,-13.28,-50.16,22.924000000000035,1.37
92,ML,1553920853,34,22.68,-3.98,26.874000000000024,2.72
1,US,1553920805,74,64.86,-147.8,6.0,3.1
75,IE,1553920200,75,51.55,-9.27,7.0,1.5
90,US,1553921044,62,39.62,-77.74,14.0,1.42
68,BR,1553920830,100,-22.97,-42.02,22.474000000000046,2.07
20,MG,1553918400,88,-15.72,46.32,24.0,2.1
75,AU,1553920641,88,-43.03,147.26,17.0,8.2
0,NG,1553921101,67,8.85,5.42,27.174000000000035,3.92
0,HN,1553920838,100,15.0,-83.23,21.824000000000012,2.42
68,TL,1553920797,89,-8.93,125.41,24.374000000000024,1.07
76,CN,1553918400,42,30.35,114.31,20.0,8.0
75,AF,1553918100,48,34.67,70.21,17.0,3.1
0,GW,1553920833,95,11.28,-15.83,26.474000000000046,6.82
76,BR,1553921102,94,-3.38,-68.87,24.774,0.87
0,TR,1553921102,59,41.09,31.12,-0.5259999999999536,0.97
0,MR,1553918400,82,20.93,-17.03,17.0,4.6
90,AU,1553920813,74,-28.65,153.62,27.0,3.1
1,US,1553920821,93,43.37,-124.22,9.439999999999998,1.5
0,PY,1553921103,80,-24.08,-55.5,22.374000000000024,1.22
20,ID,1553921103,97,-7.54,112.45,27.074000000000012,1.52
100,KZ,1553921104,99,47.96,80.43,10.324000000000012,1.42
0,NE,1553921104,34,14.07,5.96,19.274,3.02
90,LT,1553917800,87,54.63,23.94,6.0,6.2
0,KZ,1553918400,93,53.17,63.58,0.0,6.0
56,RU,1553921105,95,53.83,48.02,-3.6759999999999877,4.42
75,US,1553920806,42,34.06,-117.19,18.0,1.5
20,ID,1553920200,74,-1.24,116.86,31.0,2.1
12,CL,1553921105,96,-30.6,-71.2,11.874000000000024,1.32
1,US,1553920660,88,31.76,-93.09,17.0,3.1
40,AU,1553918400,31,-31.97,141.45,18.0,8.2
20,MU,1553920743,83,-20.34,57.76,27.78000000000003,2.67
76,CN,1553920622,76,39.77,98.29,4.074000000000012,2.77
75,PR,1553920859,78,18.47,-66.12,24.0,2.1
1,US,1553920889,55,34.73,-86.59,18.33000000000004,2.6
0,AR,1553918400,78,-27.46,-55.82,25.0,1.5
32,RU,1553920820,72,71.64,128.87,-4.325999999999965,8.07
92,BR,1553921109,100,-8.9,-35.15,24.074000000000012,2.02
90,US,1553921109,75,42.73,-90.48,8.0,1.5
76,RU,1553921109,86,69.38,178.42,-12.025999999999954,1.67
0,AU,1553921110,88,-24.88,146.25,23.724000000000046,6.42
0,FR,1553920805,75,43.56,6.97,11.110000000000014,2.1
40,VU,1553918400,66,-19.55,169.27,31.0,5.1
76,RU,1553920866,45,53.74,127.27,-2.4259999999999877,1.42
75,CA,1553918400,86,68.22,-135.01,-1.0,2.12
32,BR,1553920800,79,-30.17,-50.22,21.324000000000012,5.02
0,PG,1553921111,100,-10.62,150.67,27.674000000000035,3.07
12,ZA,1553921111,51,-29.67,22.74,16.024,1.22
68,RU,1553920555,91,70.62,147.9,-6.575999999999965,5.92
0,ES,1553920926,77,27.91,-15.45,15.0,2.6
20,RU,1553920811,90,71.97,114.09,-7.175999999999988,2.87
76,NZ,1553920822,97,-35.17,173.16,19.424000000000035,4.37
0,IN,1553921112,44,29.49,74.08,29.374000000000024,6.22
20,FR,1553921045,55,42.87,1.37,7.78000000000003,0.45
20,PH,1553921111,47,14.29,120.72,35.0,5.1
56,PG,1553921113,86,-6.6,147.85,26.274,1.32
0,FR,1553920221,80,46.42,3.91,2.0,3.27
64,LY,1553921113,84,31.21,16.59,14.974000000000046,8.07
20,MW,1553921114,81,-14.38,34.33,18.824000000000012,1.72
0,CN,1553921114,29,35.3,113.88,16.574000000000012,3.22
68,BR,1553920828,100,-5.2,-35.46,24.974000000000046,1.42
36,BR,1553921114,100,-21.64,-41.05,23.424000000000035,3.92
0,GF,1553918400,78,4.94,-52.33,26.0,2.6
0,RO,1553921115,81,45.07,23.4,2.2240000000000464,1.17
20,RU,1553921115,82,63.05,179.32,-0.07599999999996498,5.57
0,RU,1553921116,79,54.43,31.9,5.074000000000012,5.82
0,MG,1553921116,90,-23.35,47.6,26.374000000000024,1.62
76,NU,1553918400,94,-19.06,-169.92,26.0,2.6
90,BM,1553920320,94,32.3,-64.78,20.0,6.2
40,GH,1553918400,88,5.35,-0.62,28.0,3.1
0,DE,1553921114,87,52.18,7.04,8.330000000000041,1.0
88,RU,1553920832,97,71.98,102.47,-1.9259999999999877,6.72
8,SB,1553920863,75,-8.15,159.59,30.324000000000012,5.07
92,CL,1553920991,67,-28.58,-70.76,14.174000000000035,1.07
88,NO,1553921103,75,62.58,6.12,5.0,12.3
88,RU,1553921118,84,54.48,46.71,-2.4259999999999877,4.22
0,CL,1553921113,55,-32.75,-70.73,17.78000000000003,1.42
68,CK,1553918400,83,-21.21,-159.78,25.0,5.1
0,IN,1553920840,100,11.67,92.75,28.474000000000046,1.52
0,US,1553921117,43,36.41,-105.57,2.7800000000000296,3.6
0,OM,1553917800,57,17.01,54.1,25.0,0.5
40,BR,1553918400,48,2.82,-60.67,31.0,3.1
20,RU,1553921119,90,60.26,37.97,1.5740000000000123,5.67
40,IS,1553921084,68,63.84,-22.43,-2.0,1.5
1,US,1553920858,71,39.15,-123.21,11.0,2.1
92,RU,1553921120,98,57.02,82.07,3.274000000000001,2.57
76,AU,1553920800,74,-16.99,145.42,30.0,3.6
75,PR,1553921103,78,18.01,-65.9,24.0,2.1
0,FR,1553920986,100,48.38,-4.62,8.330000000000041,3.1
32,BR,1553921121,95,-14.4,-56.44,21.974000000000046,1.32
24,IN,1553921121,99,10.57,72.64,29.374000000000024,4.12
0,RU,1553920806,71,64.57,143.24,-8.425999999999988,1.12
20,PT,1553920200,93,33.08,-16.33,16.0,2.1
90,DO,1553920258,100,19.55,-71.08,23.890000000000043,1.17
20,MX,1553920906,29,27.86,-105.49,19.324000000000012,6.42
0,ZM,1553921122,50,-17.36,27.22,23.724000000000046,2.37
92,BR,1553920827,100,-6.64,-51.99,23.524,0.87
8,NG,1553921122,78,7.19,8.13,26.224000000000046,6.47
75,FR,1553921104,93,42.7,2.88,8.330000000000041,4.17
88,FO,1553917800,100,62.23,-6.59,2.0,6.2
0,PY,1553921123,70,-23.27,-57.32,25.074000000000012,3.82
12,NO,1553921016,81,60.57,9.1,1.670000000000016,5.81
90,US,1553920825,92,40.7,-99.08,0.0,8.7
20,CA,1553918400,42,58.81,-122.69,9.0,3.6
88,NO,1553921124,100,70.86,29.09,0.07400000000001228,11.42
0,CL,1553918400,93,-36.8,-72.03,11.0,3.1
32,TZ,1553921125,99,-7.95,31.62,22.374000000000024,2.97
20,GR,1553920397,75,39.45,22.34,7.220000000000027,5.1
44,CA,1553921125,75,66.15,-65.72,-8.875999999999976,9.82
0,NZ,1553921115,77,-43.53,172.64,18.33000000000004,8.7
0,MX,1553921126,64,19.33,-102.37,18.224000000000046,1.27
90,US,1553921113,93,41.28,-70.1,8.0,3.42
44,CA,1553921126,66,46.7,-75.45,-8.875999999999976,1.82
0,AR,1553921126,40,-43.3,-65.11,19.324000000000012,7.27
0,MV,1553921127,100,6.88,73.1,29.574000000000012,0.87
44,CD,1553921127,100,-3.41,29.14,19.974000000000046,1.32
20,PH,1553918400,51,10.47,123.98,30.0,5.1
40,IN,1553918400,63,8.13,77.3,33.0,4.1
0,HR,1553920562,42,43.7,16.64,9.0,3.1
20,MU,1553920743,83,-20.41,57.7,27.78000000000003,2.67
0,GB,1553921103,93,52.48,1.75,6.0,1.5
40,TH,1553918400,59,9.96,98.62,33.0,3.6
24,RU,1553920810,95,66.83,70.83,-1.325999999999965,8.17
88,SB,1553921128,90,-9.43,159.96,26.474000000000046,1.87
75,CO,1553918400,83,6.19,-67.49,27.0,1.5
20,CU,1553920941,82,23.15,-81.92,21.0,2.6
32,MG,1553920831,100,-14.27,50.17,26.674000000000035,0.67
76,BR,1553921129,85,-9.61,-37.76,24.324000000000012,2.67
76,RU,1553921129,59,50.1,139.13,-6.425999999999988,1.77
75,PL,1553921022,87,53.02,20.88,8.330000000000041,2.6
68,RU,1553921130,92,66.32,-179.17,-1.5259999999999536,4.02
0,RU,1553918400,44,53.6,91.39,4.0,2.0
